Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Trachi, Youness; Elbouchikhi, Elhoussin; Choqueuse, Vincent; Benbouzid, Mohamed El Hachemi; ",Induction machines fault detection based on subspace spectral estimation,IEEE Transactions on Industrial Electronics,63,9,5641-5651,2016,IEEE
"Oubrahim, Zakarya; Choqueuse, Vincent; Amirat, Yassine; Benbouzid, Mohamed; ",Classification of three-phase power disturbances based on model order selection in smart grid applications,IECON 2016-42nd Annual Conference of the IEEE Industrial Electronics Society,,,5143-5148,2016,IEEE
"Trachi, Youness; Elbouchikhi, Elhoussin; Choqueuse, Vincent; Wang, Tianzhen; Benbouzid, Mohamed; ",Induction machine faults detection based on a constant false alarm rate detector,IECON 2016-42nd Annual Conference of the IEEE Industrial Electronics Society,,,6359-6363,2016,IEEE
"Trachi, Youness; Elbouchikhi, Elhoussin; Choqueuse, Vincent; Benbouzid, Mohamed El Hachemi; Wang, Tianzhen; ",A novel induction machine fault detector based on hypothesis testing,IEEE Transactions on Industry Applications,53,3,3039-3048,2016,IEEE
"Elbouchikhi, Elhoussin; Choqueuse, Vincent; Amirat, Yassine; Benbouzid, Mohamed El Hachemi; Turri, Sylvie; ",An efficient Hilbert–Huang transform-based bearing faults detection in induction machines,IEEE Transactions on Energy Conversion,32,2,401-413,2017,IEEE
"Oubrahim, Zakarya; Choqueuse, Vincent; Amirat, Yassine; Benbouzid, Mohamed El Hachemi; ",Disturbances classification based on a model order selection method for power quality monitoring,IEEE Transactions on Industrial Electronics,64,12,9421-9432,2017,IEEE
"Oubrahim, Zakarya; Choqueuse, Vincent; Amirat, Yassine; Benbouzid, Mohamed El Hachemi; ",Maximum-likelihood frequency and phasor estimations for electric power grid monitoring,IEEE Transactions on Industrial Informatics,14,1,167-177,2017,IEEE
"Elbouchikhi, Elhoussin; Choqueuse, Vincent; Auger, François; Benbouzid, Mohamed El Hachemi; ",Motor current signal analysis based on a matched subspace detector,IEEE Transactions on Instrumentation and Measurement,66,12,3260-3270,2017,IEEE
"Elbouchikhi, Elhoussin; Choqueuse, Vincent; Feld, Gilles; Amirat, Yassine; Benbouzid, Mohamed; ",A symmetrical components-based load oscillation detection method for closed-loop controlled induction motors,IECON 2017-43rd Annual Conference of the IEEE Industrial Electronics Society,,,8047-8052,2017,IEEE
"Choqueuse, Vincent; Elbouchikhi, Elhoussin; Oubrahim, Zakarya; Benbouzid, Mohamed; ",On the Use of Phase Diversity for Spectral Estimation in Current Signature Analysis,ieee iecon 2017,,,,2017,
"Choqueuse, Vincent; Belouchrani, Adel; Auger, François; Benbouzid, Mohamed; ",Frequency and phasor estimations in three-phase systems: Maximum likelihood algorithms and theoretical performance,IEEE Transactions on Smart Grid,10,3,3248-3258,2018,IEEE
"Choqueuse, V; Belouchrani, A; Auger, F; Benbouzid, M; ",Maximum Likelihood Phasor Estimation and Unbalance Detection in Three-Phase Systems,"Technical Report, UBO",,10.13140/RG.2.2.18232.19208/1,,2018,
"Choqueuse, Vincent; Granjon, Pierre; Belouchrani, Adel; Auger, François; Benbouzid, Mohamed; ",Monitoring of three-phase signals based on singular-value decomposition,IEEE Transactions on Smart Grid,10,6,6156-6166,2019,IEEE
"Choqueuse, Vincent; ",Theoretical performances of the ML frequency estimator for unbalanced three-phase systems,,,,,2019,
"Choqueuse, V; Elbouchikhi, E; Benbouzid, M; Auger, F; ",A low complexity spectral estimator for current signature analysis of induction machines,,,,,2019,"Technical report, UBO"
"Choqueuse, Vincent; ",Apports des techniques de traitement du signal paramétriques pour l'analyse des signaux électriques et les communications optiques cohérentes,,,,,2020,Université de Bretagne Occidentale
"Choqueuse, Vincent V; Benbouzid, Mohamed; Charpentier, Jean Frédéric; ",Etude comparative des techniques de traitement de signaux non-stationnaires pour le diagnostic des génératrices asynchrones d'éoliennes offshores et d'hydroliennes,European Journal of Electrical Engineering,,,47,2014,
"Choqueuse, Vincent V; Azou, Stéphane; Yao, Koffi Clément; Collin, Ludovic; Burel, Gilles; ",Blind modulation recognition for MIMO communications,IEEE Communication Conference,,,Non renseigne,2008,
"Frini, Marouane; Auger, François; ",Parametric Tracking of Electrical Currents Using Gradient Descent Algorithm.,CoRR,,,,2021,
"Frunza, Alexandru; Choqueuse, Vincent; Morel, Pascal; Azou, Stéphane; ",Global estimation and compensation of linear effects in coherent optical systems based on nonlinear least squares,IEEE Systems Journal,16,3,3794-3804,2021,IEEE
"Frunză, Alexandru; Sime, Jacqueline E; Choqueuse, Vincent; Morel, Pascal; Azou, Stéphane; ",Joint Estimation and Compensation of Transmitter IQ Imbalance and Laser Phase Noise in Coherent Optical Systems,2021 IEEE Photonics Conference (IPC),,,1-2,2021,IEEE
"Frini, Marouane; Choqueuse, Vincent; Auger, François; ",Parametric Tracking of Electrical Current Components Using Gradient Descent Algorithm,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",236,16,8834-8841,2022,"SAGE Publications Sage UK: London, England"
"Choqueuse, Vincent; Frunza, Alexandru; Azou, Stéphane; Morel, Pascal; ",PhyCOM: A multi-layer parametric network for joint linear impairments compensation and symbol detection,arXiv preprint arXiv:2203.00266,,,,2022,
"Choqueuse, Vincent; Frunza, Alexandru; Belouchrani, Adel; Azou, Stéphane; Morel, Pascal; ",ParamNet: A multi-layer parametric network for joint channel estimation and symbol detection,2022 30th European Signal Processing Conference (EUSIPCO),,,1616-1620,2022,IEEE
"Frunză, Alexandru; Choqueuse, Vincent; Morel, Pascal; Serbănescu, Alexandru; Azou, Stéphane; ",A Comparative Study on Global Compensation Techniques for Coherent Optical Communications,2022 14th International Conference on Communications (COMM),,,1-6,2022,IEEE
"Frunză, Alexandru; Choqueuse, Vincent; Morel, Pascal; Azou, Stéphane; ",A Parametric Network for the Global Compensation of Physical Layer Linear Impairments in Coherent Optical Communications,IEEE Open Journal of the Communications Society,3,,1428-1444,2022,IEEE
"Sotomayor, Abraham; Pincemin, Erwan; Choqueuse, Vincent; Morvan, Michel; ",Optimized Cost Function of Multi-Layer Perceptron for Fibre Non-Linear Impairment Mitigation in Coherent 200-Gbps DP-16QAM Transmission System,Novel Optical Materials and Applications,,,JTu2A. 41,2022,Optica Publishing Group
"Choqueuse, Vincent V; ",Blind Recognition of MIMO communication parameters,,,,,2008,Université de Bretagne occidentale-Brest
"AMIRAT, Yacine; CHOQUEUSE, Vincent; BENBOUZID, Mohamed; CHARPENTIER, Jean-Frederic; ",Science Arts & M 茅 tiers (SAM),,,,,,
"Frunza, Alexandru; Choqueuse, Vincent V; Morel, Pascal; Serbanescu, Alexandru; Azou, Stéphane; ",An Experimental Demonstration of Joint Linear Impairments Compensation in Coherent Optical Systems Using a Parametric Network,Journal of Military Technology,5,2,,2022,
"Frunza, Alexandru; Choqueuse, Vincent V; Morel, Pascal; Azou, Stéphane; ",Robust Estimation of the Channel Parameters in Presence of Transmitter and Receiver IQ Impairments,Journal of Military Technology,5,2,19-28,2022,
"Kasmi, Mahdi; Morel, Pascal; Telescu, Mihai; Choqueuse, Vincent V; Tanguy, Noël; Azou, Stéphane; ",Performance analysis of UFMC waveform in an SOA-based analog IF over fiber fronthaul link for the C-RAN architecture,Journée du Club Optique et Micro-Ondes (JCOM 2023),,,,2023,
"Kasmi, Mahdi; Morel, Pascal; Telescu, Mihai; Choqueuse, Vincent; Tanguy, Noël; Azou, Stéphane; ",Influence of frequency mapping on intermodulation distortion in an SOA-based optical fronthaul C-RAN architecture for 5G communications,2023 23rd International Conference on Transparent Optical Networks (ICTON),,,1-4,2023,IEEE
"Sotomayor, Abraham; Pincemin, Erwan; Choqueuse, Vincent; Morvan, Michel; ",A Comparison of Machine Learning Techniques for Fiber Non-Linearity Compensation: Multilayer Perceptron vs. Learned Digital BackPropagation,2023 23rd International Conference on Transparent Optical Networks (ICTON),,,1-4,2023,IEEE
